tag,timestamp,event,free_heap,min_free_heap,total_allocated_bytes,total_free_bytes,largest_free_block
MEMLOG,465,Before WiFi init,384844,384536,15388,384844,352256
MEMLOG,1895,After WiFi init,333992,331108,65624,333992,303104
MEMLOG,1935,Before Servo init,333992,331108,65624,333992,303104
MEMLOG,1975,After Servo init,333992,331108,65624,333992,303104
MEMLOG,2015,Before MQTT init,334028,331108,65592,334028,303104
MEMLOG,2075,After MQTT init,323352,323136,76092,323352,294912
MEMLOG,11505,Before open entry gate,328060,320736,71412,328060,294912
MEMLOG,16555,After close entry gate,325632,320736,73832,325632,294912
MEMLOG,19805,Before open entry gate,328060,320736,71412,328060,294912
MEMLOG,24845,After close entry gate,325632,320736,73832,325632,294912
MEMLOG,26145,Before open entry gate,328060,320736,71412,328060,294912
MEMLOG,31195,After close entry gate,325632,320736,73832,325632,294912
MEMLOG,32805,Before open entry gate,328060,320736,71412,328060,294912
MEMLOG,37855,After close entry gate,325632,320736,73832,325632,294912
MEMLOG,38745,Before open entry gate,328060,320736,71412,328060,294912
MEMLOG,43795,After close entry gate,325632,320736,73832,325632,294912